Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
3.63,0.0014,-0.0002,-0.0005,0.0007,-0.0005,-1e-04
3.64,0.0005,-0.0005,0.0005,1e-04,-0.0002,-0.0003
3.65,-0.0008,-0.0009,0.0019,-0.0008,0.0002,-0.0005
3.66,-0.0016,-0.0012,0.0027,-0.0013,0.0005,-0.0007
3.67,-0.0028,-0.0015,0.0039,-0.002,0.0009,-0.001
3.68,-0.0025,-0.0013,0.0033,-0.0017,0.0008,-0.0007
3.69,-0.0019,-0.0009,0.0024,-0.0013,0.0006,-0.0005
3.7,-0.0013,-0.0006,0.0015,-0.0008,0.0005,-0.0002
3.71,-0.0005,-0.0002,0.0005,-0.0002,1e-04,-0.0
3.72,-1e-04,-0.0,1e-04,-0.0,0.0,0.0
3.73,1e-04,0.0,-1e-04,1e-04,-0.0,1e-04
3.74,0.0002,1e-04,-0.0003,0.0002,-1e-04,1e-04
